Date             Gouvernorat        Cas positifs          Guérisons           Décès         Nombre de vaccinés
19/3/2020        Bizerte                280                  135                15                  110
20/3/2020        Bizerte                210                  150                30                  220
21/3/2020        Bizerte                300                  160                75                  70

2/3/2020         Gabes                  78                   25                 15                  38
3/3/2020         Gabes                  20                   0                  5                   50
4/3/2020         Gabes                  13                   15                 19                  0
5/3/2020         Gabes                  45                   27                 3                   2
6/3/2020         Gabes                  67                   36                 5                   2
7/3/2020         Gabes                  70                   24                 5                   10
8/3/2020         Gabes                  60                   35                 0                   14
9/3/2020         Gabes                  85                   40                 14                  12
10/3/2020        Gabes                  20                   55                 20                  10
11/3/2020        Gabes                  95                   52                 18                  6
12/3/2020        Gabes                  85                   37                 67                  46
13/3/2020        Gabes                  110                  54                 54                  40
14/3/2020        Gabes                  150                  61                 85                  55
15/3/2020        Gabes                  140                  69                 56                  75
16/3/2020        Gabes                  158                  75                 60                  80
17/3/2020        Gabes                  154                  85                 35                  80
18/3/2020        Gabes                  210                  110                51                  89
19/3/2020        Gabes                  214                  140                35                  100
20/3/2020        Gabes                  285                  145                60                  120
21/3/2020        Gabes                  350                  165                50                  70

2/3/2020         Gafsa                  94                   40                 3                   22
3/3/2020         Gafsa                  37                   40                 7                   200
4/3/2020         Gafsa                  45                   10                 9                   5
5/3/2020         Gafsa                  50                   71                 3                   9
6/3/2020         Gafsa                  37                   65                 5                   27
7/3/2020         Gafsa                  80                   14                 4                   19
8/3/2020         Gafsa                  95                   15                 1                   24
9/3/2020         Gafsa                  120                  60                 10                  29
10/3/2020        Gafsa                  129                  3                  52                  45
11/3/2020        Gafsa                  140                  12                 10                  18
12/3/2020        Gafsa                  180                  80                 27                  25
13/3/2020        Gafsa                  200                  45                 55                  51
14/3/2020        Gafsa                  230                  60                 95                  54
15/3/2020        Gafsa                  210                  105                100                 70
16/3/2020        Gafsa                  208                  90                 140                 120
17/3/2020        Gafsa                  190                  10                 105                 60
18/3/2020        Gafsa                  250                  160                121                 84
19/3/2020        Gafsa                  240                  145                215                 101
20/3/2020        Gafsa                  211                  150                230                 220
21/3/2020        Gafsa                  310                  160                300                 170

2/3/2020         Jendouba               50                   30                 12                  82
3/3/2020         Jendouba               34                   30                 10                  200
4/3/2020         Jendouba               23                   10                 9                   0
5/3/2020         Jendouba               15                   7                  3                   2
6/3/2020         Jendouba               37                   6                  5                   8
7/3/2020         Jendouba               40                   14                 9                   10
8/3/2020         Jendouba               30                   15                 2                   14
9/3/2020         Jendouba               55                   10                 14                  12
10/3/2020        Jendouba               65                   3                  12                  10
11/3/2020        Jendouba               14                   85                 16                  2
12/3/2020        Jendouba               95                   30                 17                  46
13/3/2020        Jendouba               160                  45                 25                  40
14/3/2020        Jendouba               130                  60                 35                  55
15/3/2020        Jendouba               110                  75                 80                  75
16/3/2020        Jendouba               160                  90                 40                  80
17/3/2020        Jendouba               180                  100                25                  80
18/3/2020        Jendouba               220                  120                23                  50
19/3/2020        Jendouba               250                  135                15                  100
20/3/2020        Jendouba               280                  150                30                  120
21/3/2020        Jendouba               400                  160                68                  14

2/3/2020         Kairouan               46                   20                 0                   15
3/3/2020         Kairouan               76                   210                5                   100
4/3/2020         Kairouan               33                   110                9                   0
5/3/2020         Kairouan               115                  117                3                   2
6/3/2020         Kairouan               317                  106                5                   2
7/3/2020         Kairouan               350                  144                52                  10
8/3/2020         Kairouan               310                  156                90                  14
9/3/2020         Kairouan               155                  100                110                 12
10/3/2020        Kairouan               170                  311                120                 10
11/3/2020        Kairouan               285                  127                109                 6
12/3/2020        Kairouan               295                  301                170                 46
13/3/2020        Kairouan               110                  451                250                 40
14/3/2020        Kairouan               130                  601                353                 55
15/3/2020        Kairouan               145                  752                504                 75
16/3/2020        Kairouan               175                  490                401                 80
17/3/2020        Kairouan               180                  600                251                 80
18/3/2020        Kairouan               280                  620                210                 89
19/3/2020        Kairouan               210                  165                150                 100
20/3/2020        Kairouan               250                  140                301                 120
21/3/2020        Kairouan               300                  190                370                 70

2/3/2020         Kasserine              57                   40                 2                   28
3/3/2020         Kasserine              48                   40                 7                   90
4/3/2020         Kasserine              123                  100                9                   100
5/3/2020         Kasserine              215                  107                3                   28
6/3/2020         Kasserine              307                  60                 5                   52
7/3/2020         Kasserine              140                  140                16                  10
8/3/2020         Kasserine              310                  151                4                   141
9/3/2020         Kasserine              550                  108                11                  120
10/3/2020        Kasserine              270                  30                 12                  100
11/3/2020        Kasserine              485                  121                13                  360
12/3/2020        Kasserine              295                  301                14                  246
13/3/2020        Kasserine              510                  451                25                  140
14/3/2020        Kasserine              230                  360                36                  155
15/3/2020        Kasserine              445                  175                57                  175
16/3/2020        Kasserine              161                  290                48                  380
17/3/2020        Kasserine              182                  109                29                  180
18/3/2020        Kasserine              223                  129                70                  289
19/3/2020        Kasserine              254                  125                12                  105
20/3/2020        Kasserine              285                  130                38                  121
21/3/2020        Kasserine              306                  140                71                  570

2/3/2020         Kebili                 21                   30                 11                  25
3/3/2020         Kebili                 9                    30                 10                  200
4/3/2020         Kebili                 123                  110                49                  0
5/3/2020         Kebili                 215                  71                 33                  2
6/3/2020         Kebili                 337                  60                 52                  1
7/3/2020         Kebili                 401                  114                50                  30
8/3/2020         Kebili                 304                  115                90                  114
9/3/2020         Kebili                 551                  108                101                 124
10/3/2020        Kebili                 702                  300                124                 105
11/3/2020        Kebili                 185                  121                100                 66
12/3/2020        Kebili                 395                  301                107                 76
13/3/2020        Kebili                 510                  245                205                 80
14/3/2020        Kebili                 430                  260                135                 95
15/3/2020        Kebili                 345                  175                150                 175
16/3/2020        Kebili                 260                  190                240                 180
17/3/2020        Kebili                 180                  100                215                 280
18/3/2020        Kebili                 225                  130                211                 829
19/3/2020        Kebili                 251                  145                151                 105
20/3/2020        Kebili                 282                  151                130                 126
21/3/2020        Kebili                 341                  164                170                 270

2/3/2020         Kef                    68                   40                 8                   170
3/3/2020         Kef                    13                   40                 7                   200
4/3/2020         Kef                    123                  16                 49                  300
5/3/2020         Kef                    115                  87                 63                  240
6/3/2020         Kef                    137                  60                 75                  233
7/3/2020         Kef                    240                  140                85                  105
8/3/2020         Kef                    330                  150                90                  14
9/3/2020         Kef                    155                  101                100                 17
10/3/2020        Kef                    270                  113                121                 110
11/3/2020        Kef                    385                  112                102                 600
12/3/2020        Kef                    395                  130                177                 461
13/3/2020        Kef                    410                  114                254                 401
14/3/2020        Kef                    430                  66                 351                 554
15/3/2020        Kef                    445                  74                 502                 275
16/3/2020        Kef                    260                  70                 400                 380
17/3/2020        Kef                    380                  102                254                 280
18/3/2020        Kef                    420                  121                211                 389
19/3/2020        Kef                    450                  132                151                 120
20/3/2020        Kef                    180                  151                300                 140
21/3/2020        Kef                    30                   160                370                 270

2/3/2020         Mahdia                 35                   30                 11                  10
3/3/2020         Mahdia                 75                   30                 10                  200
4/3/2020         Mahdia                 23                   110                29                  10
5/3/2020         Mahdia                 15                   70                 13                  21
6/3/2020         Mahdia                 37                   61                 55                  12
7/3/2020         Mahdia                 40                   141                65                  100
8/3/2020         Mahdia                 30                   151                40                  140
9/3/2020         Mahdia                 55                   101                210                 120
10/3/2020        Mahdia                 70                   311                212                 210
11/3/2020        Mahdia                 85                   121                110                 306
12/3/2020        Mahdia                 95                   301                217                 460
13/3/2020        Mahdia                 110                  415                225                 240
14/3/2020        Mahdia                 130                  160                335                 555
15/3/2020        Mahdia                 145                  76                 250                 750
16/3/2020        Mahdia                 160                  90                 240                 480
17/3/2020        Mahdia                 180                  99                 325                 280
18/3/2020        Mahdia                 220                  119                221                 289
19/3/2020        Mahdia                 250                  134                215                 180
20/3/2020        Mahdia                 280                  151                230                 190
21/3/2020        Mahdia                 300                  160                170                 170

2/3/2020         Manouba                20                   20                 5                   62
3/3/2020         Manouba                80                   20                 5                   100
4/3/2020         Manouba                123                  10                 9                   0
5/3/2020         Manouba                115                  7                  3                   2
6/3/2020         Manouba                237                  6                  45                  2
7/3/2020         Manouba                240                  14                 25                  10
8/3/2020         Manouba                310                  15                 60                  14
9/3/2020         Manouba                155                  10                 101                 12
10/3/2020        Manouba                170                  3                  121                 10
11/3/2020        Manouba                185                  12                 103                 6
12/3/2020        Manouba                295                  30                 174                 46
13/3/2020        Manouba                150                  45                 255                 40
14/3/2020        Manouba                140                  60                 351                 55
15/3/2020        Manouba                135                  75                 500                 75
16/3/2020        Manouba                140                  90                 401                 80
17/3/2020        Manouba                150                  100                251                 80
18/3/2020        Manouba                240                  120                218                 89
19/3/2020        Manouba                230                  135                151                 100
20/3/2020        Manouba                220                  150                301                 120
21/3/2020        Manouba                307                  160                170                 71

2/3/2020         Medenine               35                   50                 53                  100
3/3/2020         Medenine               49                   120                51                  100
4/3/2020         Medenine               23                   110                92                  0
5/3/2020         Medenine               15                   70                 103                 2
6/3/2020         Medenine               37                   60                 251                 92
7/3/2020         Medenine               40                   140                145                 101
8/3/2020         Medenine               30                   158                0                   148
9/3/2020         Medenine               55                   109                10                  126
10/3/2020        Medenine               70                   130                12                  101
11/3/2020        Medenine               85                   612                10                  644
12/3/2020        Medenine               95                   430                17                  460
13/3/2020        Medenine               130                  345                25                  400
14/3/2020        Medenine               140                  260                35                  550
15/3/2020        Medenine               150                  175                50                  756
16/3/2020        Medenine               160                  190                40                  800
17/3/2020        Medenine               190                  200                25                  801
18/3/2020        Medenine               210                  320                21                  890
19/3/2020        Medenine               250                  435                15                  101
20/3/2020        Medenine               280                  550                30                  125
21/3/2020        Medenine               310                  600                70                  74

2/3/2020         Monastir               30                   40                 7                   9
3/3/2020         Monastir               116                  40                 70                  200
4/3/2020         Monastir               123                  20                 69                  50
5/3/2020         Monastir               150                  70                 53                  240
6/3/2020         Monastir               317                  61                 25                  230
7/3/2020         Monastir               140                  54                 15                  210
8/3/2020         Monastir               60                   25                 40                  140
9/3/2020         Monastir               155                  70                 13                  120
10/3/2020        Monastir               270                  30                 22                  110
11/3/2020        Monastir               285                  42                 13                  116
12/3/2020        Monastir               395                  32                 12                  246
13/3/2020        Monastir               113                  42                 21                  340
14/3/2020        Monastir               133                  61                 37                  255
15/3/2020        Monastir               143                  72                 56                  175
16/3/2020        Monastir               162                  92                 45                  180
17/3/2020        Monastir               182                  110                21                  280
18/3/2020        Monastir               222                  120                29                  189
19/3/2020        Monastir               251                  135                18                  101
20/3/2020        Monastir               281                  140                37                  126
21/3/2020        Monastir               301                  150                76                  78

2/3/2020         Nabeul                 54                   30                 17                  19
3/3/2020         Nabeul                 72                   10                 10                  200
4/3/2020         Nabeul                 223                  10                 19                  0
5/3/2020         Nabeul                 230                  70                 13                  2
6/3/2020         Nabeul                 250                  60                 25                  2
7/3/2020         Nabeul                 300                  145                35                  10
8/3/2020         Nabeul                 430                  145                40                  14
9/3/2020         Nabeul                 465                  310                50                  12
10/3/2020        Nabeul                 370                  230                62                  10
11/3/2020        Nabeul                 455                  112                70                  6
12/3/2020        Nabeul                 145                  230                87                  46
13/3/2020        Nabeul                 180                  245                95                  40
14/3/2020        Nabeul                 190                  260                15                  55
15/3/2020        Nabeul                 245                  175                20                  75
16/3/2020        Nabeul                 260                  590                30                  80
17/3/2020        Nabeul                 380                  104                45                  80
18/3/2020        Nabeul                 320                  123                51                  89
19/3/2020        Nabeul                 450                  132                65                  100
20/3/2020        Nabeul                 380                  151                70                  120
21/3/2020        Nabeul                 500                  250                80                  170

2/3/2020         Sfax                   94                   20                 40                  21
3/3/2020         Sfax                   146                  20                 5                   120
4/3/2020         Sfax                   230                  16                 90                  310
5/3/2020         Sfax                   250                  70                 30                  112
6/3/2020         Sfax                   371                  16                 50                  172
7/3/2020         Sfax                   400                  114                115                 109
8/3/2020         Sfax                   300                  16                 103                 149
9/3/2020         Sfax                   550                  18                 101                 129
10/3/2020        Sfax                   701                  13                 112                 109
11/3/2020        Sfax                   815                  18                 210                 106
12/3/2020        Sfax                   195                  30                 117                 146
13/3/2020        Sfax                   110                  45                 125                 401
14/3/2020        Sfax                   130                  60                 135                 255
15/3/2020        Sfax                   115                  75                 150                 175
16/3/2020        Sfax                   183                  90                 140                 280
17/3/2020        Sfax                   190                  100                250                 180
18/3/2020        Sfax                   230                  120                210                 19
19/3/2020        Sfax                   210                  135                115                 101
20/3/2020        Sfax                   210                  150                40                  114
21/3/2020        Sfax                   130                  210                70                  30

2/3/2020         Sidibouzid             24                   40                 6                   53
3/3/2020         Sidibouzid             179                  40                 7                   200
4/3/2020         Sidibouzid             214                  10                 29                  70
5/3/2020         Sidibouzid             116                  7                  83                  21
6/3/2020         Sidibouzid             317                  6                  35                  22
7/3/2020         Sidibouzid             402                  14                 85                  100
8/3/2020         Sidibouzid             301                  15                 10                  114
9/3/2020         Sidibouzid             515                  10                 108                 120
10/3/2020        Sidibouzid             170                  3                  125                 11
11/3/2020        Sidibouzid             185                  12                 108                 66
12/3/2020        Sidibouzid             195                  30                 171                 460
13/3/2020        Sidibouzid             111                  45                 251                 404
14/3/2020        Sidibouzid             133                  60                 353                 551
15/3/2020        Sidibouzid             148                  75                 501                 751
16/3/2020        Sidibouzid             162                  90                 401                 810
17/3/2020        Sidibouzid             185                  100                250                 180
18/3/2020        Sidibouzid             120                  120                211                 819
19/3/2020        Sidibouzid             250                  135                151                 103
20/3/2020        Sidibouzid             287                  159                301                 180
21/3/2020        Sidibouzid             600                  160                702                 270

2/3/2020         Siliana                34                   25                 6                   94
3/3/2020         Siliana                18                   27                 7                   201
4/3/2020         Siliana                23                   110                9                   0
5/3/2020         Siliana                15                   71                 3                   72
6/3/2020         Siliana                37                   62                 5                   27
7/3/2020         Siliana                40                   14                 4                   210
8/3/2020         Siliana                310                  25                 0                   104
9/3/2020         Siliana                155                  30                 10                  102
10/3/2020        Siliana                270                  33                 12                  110
11/3/2020        Siliana                385                  22                 0                   16
12/3/2020        Siliana                195                  70                 107                 146
13/3/2020        Siliana                180                  55                 125                 140
14/3/2020        Siliana                160                  70                 135                 155
15/3/2020        Siliana                169                  79                 350                 77
16/3/2020        Siliana                161                  91                 410                 89
17/3/2020        Siliana                182                  100                250                 85
18/3/2020        Siliana                223                  130                211                 90
19/3/2020        Siliana                255                  155                151                 100
20/3/2020        Siliana                281                  170                301                 10
21/3/2020        Siliana                350                  180                707                 770

2/3/2020         Sousse                 16                   20                 0                   340
3/3/2020         Sousse                 4                    20                 7                   100
4/3/2020         Sousse                 23                   10                 9                   10
5/3/2020         Sousse                 15                   7                  3                   62
6/3/2020         Sousse                 37                   6                  59                  200
7/3/2020         Sousse                 40                   14                 74                  10
8/3/2020         Sousse                 30                   15                 10                  14
9/3/2020         Sousse                 55                   10                 130                 102
10/3/2020        Sousse                 70                   3                  120                 101
11/3/2020        Sousse                 85                   12                 103                 61
12/3/2020        Sousse                 95                   30                 174                 462
13/3/2020        Sousse                 110                  45                 251                 401
14/3/2020        Sousse                 130                  60                 305                 550
15/3/2020        Sousse                 145                  75                 400                 705
16/3/2020        Sousse                 160                  290                410                 480
17/3/2020        Sousse                 180                  170                250                 280
18/3/2020        Sousse                 220                  128                211                 189
19/3/2020        Sousse                 250                  185                159                 190
20/3/2020        Sousse                 280                  140                301                 120
21/3/2020        Sousse                 300                  260                703                 270

2/3/2020         Tataouine              43                   40                 0                   221
3/3/2020         Tataouine              75                   40                 10                  200
4/3/2020         Tataouine              230                  10                 9                   50
5/3/2020         Tataouine              150                  7                  31                  14
6/3/2020         Tataouine              371                  6                  42                  2
7/3/2020         Tataouine              410                  114                0                   10
8/3/2020         Tataouine              300                  18                 50                  14
9/3/2020         Tataouine              555                  100                110                 12
10/3/2020        Tataouine              702                  103                120                 10
11/3/2020        Tataouine              815                  112                140                 6
12/3/2020        Tataouine              195                  30                 117                 46
13/3/2020        Tataouine              111                  145                251                 41
14/3/2020        Tataouine              136                  260                353                 55
15/3/2020        Tataouine              148                  35                 150                 175
16/3/2020        Tataouine              160                  49                 140                 80
17/3/2020        Tataouine              180                  190                225                 180
18/3/2020        Tataouine              221                  150                251                 89
19/3/2020        Tataouine              252                  115                175                 100
20/3/2020        Tataouine              283                  150                380                 126
21/3/2020        Tataouine              304                  170                760                 70

2/3/2020         Tozeur                 18                   30                 10                  103
3/3/2020         Tozeur                 74                   30                 10                  200
4/3/2020         Tozeur                 23                   10                 91                  5
5/3/2020         Tozeur                 15                   7                  93                  12
6/3/2020         Tozeur                 37                   6                  105                 20
7/3/2020         Tozeur                 40                   14                 250                 101
8/3/2020         Tozeur                 30                   15                 0                   114
9/3/2020         Tozeur                 55                   10                 10                  125
10/3/2020        Tozeur                 70                   3                  12                  108
11/3/2020        Tozeur                 85                   12                 10                  69
12/3/2020        Tozeur                 95                   30                 17                  426
13/3/2020        Tozeur                 110                  45                 25                  470
14/3/2020        Tozeur                 130                  60                 35                  255
15/3/2020        Tozeur                 144                  75                 50                  175
16/3/2020        Tozeur                 160                  90                 40                  801
17/3/2020        Tozeur                 195                  100                25                  805
18/3/2020        Tozeur                 230                  120                21                  897
19/3/2020        Tozeur                 255                  135                15                  107
20/3/2020        Tozeur                 283                  150                30                  150
21/3/2020        Tozeur                 310                  160                160                 720

2/3/2020         Tunis                  26                   25                 5                   16
3/3/2020         Tunis                  68                   25                 5                   150
4/3/2020         Tunis                  23                   10                 9                   9
5/3/2020         Tunis                  15                   7                  3                   20
6/3/2020         Tunis                  37                   6                  5                   2
7/3/2020         Tunis                  40                   14                 51                  100
8/3/2020         Tunis                  30                   15                 80                  140
9/3/2020         Tunis                  55                   10                 110                 102
10/3/2020        Tunis                  70                   203                120                 103
11/3/2020        Tunis                  85                   112                100                 65
12/3/2020        Tunis                  95                   130                107                 416
13/3/2020        Tunis                  111                  145                215                 240
14/3/2020        Tunis                  131                  164                325                 155
15/3/2020        Tunis                  185                  175                150                 175
16/3/2020        Tunis                  162                  190                410                 180
17/3/2020        Tunis                  380                  110                205                 88
18/3/2020        Tunis                  270                  220                201                 90
19/3/2020        Tunis                  450                  137                150                 100
20/3/2020        Tunis                  480                  151                305                 160
21/3/2020        Tunis                  500                  160                170                 170

2/3/2020         Zaghouan               49                   30                 10                  77
3/3/2020         Zaghouan               15                   38                 10                  300
4/3/2020         Zaghouan               18                   23                 19                  50
5/3/2020         Zaghouan               14                   17                 3                   200
6/3/2020         Zaghouan               35                   60                 7                   21
7/3/2020         Zaghouan               45                   145                5                   100
8/3/2020         Zaghouan               31                   150                110                 140
9/3/2020         Zaghouan               55                   105                100                 125
10/3/2020        Zaghouan               79                   30                 125                 104
11/3/2020        Zaghouan               82                   121                105                 68
12/3/2020        Zaghouan               195                  39                 179                 467
13/3/2020        Zaghouan               150                  48                 215                 410
14/3/2020        Zaghouan               138                  67                 305                 56
15/3/2020        Zaghouan               150                  76                 510                 74
16/3/2020        Zaghouan               120                  95                 406                 82
17/3/2020        Zaghouan               140                  105                257                 85
18/3/2020        Zaghouan               226                  124                210                 90
19/3/2020        Zaghouan               257                  133                151                 110
20/3/2020        Zaghouan               285                  152                130                 121
21/3/2020        Zaghouan               300                  161                170                 79

